round_epochs,val_loss,val_categorical_accuracy,val_f1_m,loss,categorical_accuracy,f1_m,activation_hid,activation_out,batch_size,epochs,kernel_size,layers,layers_out,learning_rate
10,0.7039252429264536,0.7951874136924744,0.7913421392440796,0.6659745099722588,0.8017369,0.7967193,relu,softmax,32,10,3,[100, 50],47,0.001
10,0.5080242161994768,0.8437183499336243,0.8467222452163696,0.3343252190495904,0.88635474,0.88625115,relu,softmax,32,10,3,[100, 50],47,0.005
10,0.5301275276727107,0.8418946266174316,0.8443044424057007,0.25950271918159745,0.9094659,0.90931004,relu,softmax,32,10,3,[100, 50],47,0.01
10,0.6552824530708995,0.840070903301239,0.8417747020721436,0.13092281793511487,0.95366913,0.9538638,relu,softmax,32,10,3,[100, 50],47,0.05
10,0.9167446826487448,0.7381712198257446,0.73153156042099,0.8818207663346828,0.7472319,0.7365267,relu,softmax,64,10,3,[100, 50],47,0.001
10,0.5334454305386954,0.8307244181632996,0.8321189880371094,0.41498996557176915,0.8637321,0.8633453,relu,softmax,64,10,3,[100, 50],47,0.005
10,0.5367157696832157,0.8351317048072815,0.8382934331893921,0.3366432377179705,0.8870712,0.88675374,relu,softmax,64,10,3,[100, 50],47,0.01
10,0.6824152196673516,0.8404762148857117,0.8426500558853149,0.18047513349246214,0.9378528,0.93796617,relu,softmax,64,10,3,[100, 50],47,0.05
10,1.0126325644499867,0.7176798582077026,0.7029589414596558,0.9949534944902023,0.7190621,0.70273024,relu,softmax,128,10,3,[100, 50],47,0.001
10,0.5933961351712544,0.8190222978591919,0.8174001574516296,0.5341744419108045,0.83411855,0.8321563,relu,softmax,128,10,3,[100, 50],47,0.005
10,0.5347250654463106,0.8270263671875,0.8296927809715271,0.41195982086674005,0.8643834,0.86469865,relu,softmax,128,10,3,[100, 50],47,0.01
10,0.5880188153749059,0.8415147066116333,0.8435990214347839,0.2535408948472516,0.91191924,0.9116042,relu,softmax,128,10,3,[100, 50],47,0.05
10,0.9209813121362781,0.7406788468360901,0.7282534241676331,0.8990660799724663,0.7462006,0.73312414,tanh,softmax,32,10,3,[100, 50],47,0.001
10,0.5347485723345717,0.8289260268211365,0.8301352262496948,0.4140627370598106,0.8667825,0.8662832,tanh,softmax,32,10,3,[100, 50],47,0.005
10,0.5720579240671165,0.8272542953491211,0.8291501402854919,0.36856089420309285,0.878452,0.87833786,tanh,softmax,32,10,3,[100, 50],47,0.01
10,0.772423807973195,0.8021783232688904,0.8051164746284485,0.33780438486734166,0.8895571,0.8900657,tanh,softmax,32,10,3,[100, 50],47,0.05
10,1.0609519070042666,0.7050405144691467,0.6883018016815186,1.0439075259296882,0.70818496,0.6885855,tanh,softmax,64,10,3,[100, 50],47,0.001
10,0.5774951737340098,0.8187436461448669,0.8200106620788574,0.5141903241561694,0.8397525,0.83885014,tanh,softmax,64,10,3,[100, 50],47,0.005
10,0.5550489855754701,0.8229736685752869,0.8243272304534912,0.42393535056996234,0.8632219,0.86345655,tanh,softmax,64,10,3,[100, 50],47,0.01
10,0.755807603891135,0.8057750463485718,0.8085913062095642,0.33147472408974216,0.8883087,0.88862735,tanh,softmax,64,10,3,[100, 50],47,0.05
10,1.1234234148245814,0.6896403431892395,0.6639088988304138,1.1108499671291694,0.6915762,0.6670894,tanh,softmax,128,10,3,[100, 50],47,0.001
10,0.8249529512336793,0.7604356408119202,0.7508454322814941,0.7992148041776921,0.77111375,0.7624272,tanh,softmax,128,10,3,[100, 50],47,0.005
10,0.6005154801961016,0.8080293536186218,0.8086584806442261,0.5295989483763123,0.83619195,0.83459836,tanh,softmax,128,10,3,[100, 50],47,0.01
10,0.5940320505438846,0.8166159987449646,0.8193778395652771,0.3686021269066563,0.8797221,0.8798748,tanh,softmax,128,10,3,[100, 50],47,0.05
